,dbn,school_name_x,year,district,school_type,total_enrollment,borough,in_sample,p_asian,p_black,p_hispanic,p_multiple_race_categories_not_represented,p_white,p_other_race,p_students_with_disabilities,p_english_language_learners,p_poverty,economic_need_index,eni_n,weighted_register_allocation,total_fsf_allocations,non_fsf_budget_allocations,total_budget_allocation,pta_income,pta_expenditure,pta_start_balance,pta_end_balance,pta_category,pta_active,p_multi_racial,p_native_american,p_missing_race_ethnicity_data,correction_applied,balance_wy_diff_post,balance_wy_diff_flag,lag_pta_end_balance,ets_balance_diff,ets_balance_pct_diff,ets_balance_diff_cat,ets_balance_diff_flag,pta_start_balance_wy_transaction_flag,pta_income_wy_transaction_flag,pta_expenditure_wy_transaction_flag,pta_end_balance_wy_transaction_flag,pta_start_balance_ws_transaction_flag,pta_income_ws_transaction_flag,pta_expenditure_ws_transaction_flag,pta_end_balance_ws_transaction_flag,any_wy_transaction_flag,any_ws_transaction_flag,any_transaction_flag,anomaly_flag,pp_fsf,pp_non_fsf,pp_total_allocations,pp_pta_income,pp_pta_expenditure,pp_pta_start_balance,pp_pta_end_balance,log_pp_pta_end_balance,pta_expenditure_as_p_of_fsf,pta_expenditure_as_p_of_budget,eni_quintile,pp_pta_income_quintile,pp_pta_expenditure_quintile,pp_pta_end_balance_quintile
30,02M003,P.S. 003 Charrette School,2019,02,Elementary School,731.0,M,True,0.094,0.053,0.163,0.059,0.631,0.058999999999999914,0.211,0.044,23.0%,18.4%,0.184,10738355.0,6702774.0,4035581.0,10738355.0,524672.67,646506.77,411932.72,290098.62,Active,1.0,,,,none,0.0,False,,,,,False,True,False,False,False,False,False,False,False,True,False,True,True,9169.32147742818,5520.630642954857,14689.952120383037,717.7464705882353,884.4141860465116,563.5194528043776,396.85173734610123,5.993531816457808,9.645361308616403,6.020538248176746,Q1,Q5,Q5,Q5
31,02M006,P.S. 006 Lillie D. Blake,2019,02,Elementary School,671.0,M,True,0.171,0.024,0.061,0.016,0.727,0.017000000000000043,0.168,0.033,12.4%,10.5%,0.105,9273169.0,5243660.0,4029509.0,9273169.0,936143.84,1068005.26,1220153.0,1033236.92,Active,1.0,,,,none,55054.6599999998,False,,,,,False,True,False,False,True,False,False,False,False,True,False,True,True,7814.694485842027,6005.229508196721,13819.923994038749,1395.147302533532,1591.662086438152,1818.4098360655737,1539.8463785394933,7.342016700810449,20.367553578988723,11.517155138658639,Q1,Q5,Q5,Q5
32,02M011,P.S. 011 William T. Harris,2019,02,Elementary School,888.0,M,True,0.154,0.057,0.243,0.084,0.461,0.08499999999999994,0.159,0.033,31.9%,34.1%,0.341,11301664.0,7838331.0,3463333.0,11301664.0,,,,,Missing,,,,,none,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,8826.949324324325,3900.149774774775,12727.0990990991,,,,,,,,Q1,,,
33,02M033,P.S. 033 Chelsea Prep,2019,02,Elementary School,632.0,M,True,0.236,0.184,0.288,0.089,0.204,0.08800000000000008,0.169,0.06,49.4%,49.4%,0.494,8515418.0,5449451.0,3065967.0,8515418.0,515398.0,397937.0,2842.08,117462.0,Active,1.0,,,,start_balance_div100,2841.0800000000163,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,8622.549050632912,4851.213607594937,13473.762658227848,815.503164556962,629.6471518987341,4.4969620253164555,185.85759493670886,5.246148007687699,7.302331922977196,4.673135247148172,Q1,Q5,Q5,Q5
34,02M040,P.S. 040 Augustus Saint-Gaudens,2019,02,Elementary School,708.0,M,True,0.121,0.017,0.14,0.102,0.62,0.10199999999999998,0.169,0.025,12.1%,14.2%,0.142,8850115.0,6012558.0,2837557.0,8850115.0,498759.0,561676.0,666144.0,603226.0,Active,1.0,,,,none,1.0,False,,,,,False,True,False,False,False,False,False,False,False,True,False,True,True,8492.313559322034,4007.848870056497,12500.162429378532,704.4618644067797,793.3276836158192,940.8813559322034,852.0141242937854,6.752258869063166,9.341714458305434,6.34653899977571,Q1,Q5,Q5,Q5
35,02M041,P.S. 041 Greenwich Village,2019,02,Elementary School,694.0,M,True,0.073,0.014,0.091,0.13,0.692,0.13000000000000006,0.171,0.016,7.2%,7.9%,0.079,9457616.0,5875058.0,3582558.0,9457616.0,1023319.0,975740.0,627391.0,673784.68,Active,1.0,,,,none,1185.3199999999488,False,,,,,False,True,False,False,False,False,False,False,False,True,False,True,True,8465.50144092219,5162.187319884726,13627.688760806916,1474.5230547550432,1405.9654178674352,904.0216138328531,970.8712968299712,6.8822808664627635,16.608176463960014,10.316976286624453,Q1,Q5,Q5,Q5
36,02M042,P.S. 042 Benjamin Altman,2019,02,Elementary School,574.0,M,True,0.866,0.014,0.075,0.005,0.04,0.0050000000000000044,0.185,0.326,72.8%,79.9%,0.799,11258318.0,5978741.0,5279577.0,11258318.0,,,,,Missing,,,,,none,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,10415.925087108013,9197.869337979095,19613.794425087108,,,,,,,,Q3,,,
37,02M047,47 The American Sign Language and English Secondar,2019,02,Senior High School,196.0,M,True,0.031,0.276,0.643,0.005,0.046,0.003999999999999962,0.27,0.046,88.3%,77.2%,0.772,4846804.0,,4846804.0,4846804.0,0.0,0.0,0.0,0.0,Inactive,0.0,,,,none,0.0,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,24728.591836734693,24728.591836734693,0.0,0.0,0.0,0.0,1.3802827534680495,,0.0,Q3,,,
38,02M051,P.S. 051 Elias Howe,2019,02,Elementary School,481.0,M,True,0.129,0.148,0.476,0.029,0.218,0.028999999999999998,0.227,0.073,57.8%,59.7%,0.597,9007457.0,4492808.0,4514649.0,9007457.0,48852.36,42634.69,32537.45,38755.12,Active,1.0,,,,none,7.275957614183426e-12,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,9340.557172557172,9385.964656964657,18726.52182952183,101.564158004158,88.63760914760915,67.6454261954262,80.57197505197506,4.437319429359536,0.9489541952382564,0.4733266003934296,Q2,Q4,Q4,Q5
39,02M059,P.S. 059 Beekman Hill International,2019,02,Elementary School,598.0,M,True,0.199,0.013,0.105,0.102,0.58,0.10300000000000004,0.154,0.047,11.5%,7.8%,0.078,7843068.0,5235548.0,2607520.0,7843068.0,851102.86,864103.82,580951.59,567950.18,Active,1.0,,,,none,0.44999999995343387,False,,,,,False,True,False,False,False,False,False,False,False,True,False,True,True,8755.096989966556,4360.401337792642,13115.498327759198,1423.2489297658863,1444.9896655518394,971.4909531772574,949.7494648829432,6.86037588432516,16.50455348704663,11.01742098882733,Q1,Q5,Q5,Q5
