,Unnamed: 0,dbn,school_name_x,year,district,school_type,total_enrollment,borough,in_sample,p_asian,p_black,p_hispanic,p_multiple_race_categories_not_represented,p_white,p_other_race,p_students_with_disabilities,p_english_language_learners,p_poverty,economic_need_index,eni_n,weighted_register_allocation,total_fsf_allocations,non_fsf_budget_allocations,total_budget_allocation,pta_income,pta_expenditure,pta_start_balance,pta_end_balance,pta_category,pta_active,p_multi_racial,p_native_american,p_missing_race_ethnicity_data,correction_applied,pta_end_balance_implied,pta_end_balance_diff,pta_end_balance_pct_diff,balance_wy_diff_flag,lag_pta_end_balance,ets_balance_diff,ets_balance_pct_diff,ets_balance_diff_cat,ets_balance_diff_flag,pta_start_balance_wy_transaction_flag,pta_income_wy_transaction_flag,pta_expenditure_wy_transaction_flag,pta_end_balance_wy_transaction_flag,pta_start_balance_ws_transaction_flag,pta_income_ws_transaction_flag,pta_expenditure_ws_transaction_flag,pta_end_balance_ws_transaction_flag,any_wy_transaction_flag,any_ws_transaction_flag,any_transaction_flag,anomaly_flag,pp_fsf,pp_non_fsf,pp_total_public,pp_pta_income,pp_pta_expenditure,pp_pta_start_balance,pp_pta_end_balance,pp_total_funding,pta_expenditure_as_p_of_fsf,pta_expenditure_as_p_of_public,pta_expenditure_as_p_of_total,eni_quintile,pp_pta_income_quintile,pp_pta_expenditure_quintile,pp_pta_end_balance_quintile
273,273,06M314,Muscota,2019,6.0,Elementary School,296.0,M,True,0.041,0.03,0.456,0.064,0.409,0.064,0.193,0.061,36.1%,42.2%,0.422,5171157.0,3224451.0,1946706.0,5171157.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,10893.41554054054,6576.709459459459,17470.125,,,,,,,,,Q1,,,
295,295,07X025,P.S. 025 Bilingual School,2019,7.0,Elementary School,541.0,X,True,0.007,0.1,0.878,0.006,0.009,0.006,0.314,0.185,94.3%,92.0%,0.92,13110040.0,5622166.0,7487874.0,13110040.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,10392.173752310537,13840.802218114604,24232.975970425137,,,,,,,,,Q5,,,
300,300,07X049,P.S. 049 Willis Avenue,2019,7.0,Elementary School,650.0,X,True,0.003,0.282,0.694,0.012,0.009,0.012,0.308,0.135,Above 95%,Above 95%,0.95,12605299.0,7153373.0,5451926.0,12605299.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,11005.18923076923,8387.578461538462,19392.76769230769,,,,,,,,,Q5,,,
301,301,07X065,P.S. 065 Mother Hale Academy,2019,7.0,Elementary School,377.0,X,True,0.021,0.302,0.655,0.013,0.008,0.0139999999999999,0.263,0.127,Above 95%,Above 95%,0.95,8104634.0,4207619.0,3897015.0,8104634.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,11160.793103448275,10336.909814323608,21497.702917771883,,,,,,,,,Q5,,,
309,309,07X224,P.S./I.S. 224,2019,7.0,Middle/Junior High School,328.0,X,True,0.003,0.253,0.726,0.003,0.015,0.003,0.308,0.192,Above 95%,Above 95%,0.95,7180864.0,4479943.0,2700921.0,7180864.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,13658.362804878048,8234.515243902439,21892.878048780487,,,,,,,,,Q5,,,
316,316,07X359,Concourse Village Elementary School,2019,7.0,Elementary School,346.0,X,True,0.017,0.329,0.633,0.003,0.017,0.004,0.199,0.092,86.4%,83.3%,0.833,6155638.0,4049676.0,2105962.0,6155638.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,11704.265895953757,6086.595375722543,17790.861271676302,,,,,,,,,Q3,,,
318,318,07X379,Jill Chaifetz Transfer High School,2019,7.0,Senior High School,220.0,X,True,0.014,0.291,0.668,0.018,0.009,0.018,0.291,0.082,82.7%,88.9%,0.889,4172936.0,3301600.0,871336.0,4172936.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,15007.272727272728,3960.6181818181817,18967.890909090907,,,,,,,,,Q4,,,
319,319,07X381,Bronx Haven High School,2019,7.0,Senior High School,167.0,X,True,0.006,0.335,0.629,0.012,0.018,0.012,0.311,0.078,81.4%,88.7%,0.887,3557688.0,2805334.0,752354.0,3557688.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,16798.40718562874,4505.11377245509,21303.52095808383,,,,,,,,,Q4,,,
324,324,07X522,Bronx Design and Construction Academy,2019,7.0,Senior High School,452.0,X,True,0.004,0.279,0.677,0.02,0.02,0.0199999999999999,0.294,0.168,90.3%,87.6%,0.8759999999999999,9092203.0,6459552.0,2632651.0,9092203.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,14291.044247787611,5824.449115044248,20115.493362831858,,,,,,,,,Q4,,,
332,332,08X014,P.S. X014 Senator John Calandra,2019,8.0,Elementary School,581.0,X,True,0.05,0.059,0.664,0.024,0.203,0.024,0.234,0.074,68.3%,52.7%,0.527,9087628.0,6010758.0,3076870.0,9087628.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,10345.538726333907,5295.817555938038,15641.356282271943,,,,,,,,,Q1,,,
