,school_name_x,year,pta_income,pta_expenditure,pta_start_balance,pta_end_balance,balance_wy_diff_flag,lag_pta_end_balance,ets_balance_diff_flag,pta_start_balance_wy_transaction_flag,pta_income_wy_transaction_flag,pta_expenditure_wy_transaction_flag,pta_end_balance_wy_transaction_flag,pta_start_balance_ws_transaction_flag,pta_income_ws_transaction_flag,pta_expenditure_ws_transaction_flag,pta_end_balance_ws_transaction_flag,any_wy_transaction_flag,any_ws_transaction_flag,any_transaction_flag,anomaly_flag
1654,P.S. 075 Emily Dickinson,2020,437243.25,172688.4375,3090.3003125,264536.84375,False,306787.54,True,False,False,False,False,False,False,False,False,False,False,False,True
1656,P.S. 084 Lillian Weber,2020,620940.25,367758.90625,1781.5565625,253181.3125,False,171521.43,True,False,False,False,False,False,False,False,False,False,False,False,True
1657,P.S. 087 William Sherman,2020,271227.0,456160.0,1247216.0,1062283.0,False,1247216.0,False,True,False,False,False,False,False,False,False,True,False,True,True
1666,P.S. 199 Jessie Isador Straus,2020,1259367.0,516874.0,6044.33625,742493.0,False,626214.66,True,False,False,False,False,False,False,False,False,False,False,False,True
1669,M.S. 243 Center School,2020,74757.2421875,105006.6328125,112187.2890625,30249.390625,True,111420.86,False,False,False,False,False,False,False,False,False,False,False,False,True
1670,M.S. M245 The Computer School,2020,601987.0,102767.0,5214.31,499220.0,False,527896.0,True,False,False,False,False,False,False,False,False,False,False,False,True
1671,M.S. M247 Dual Language Middle School,2020,90254.2109375,3313356.0,90254.2109375,53120.6484375,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
1679,The Anderson School,2020,811875.3125,925822.9375,2129030.25,2015082.75,False,2129248.44,False,True,False,False,True,False,False,False,False,True,False,True,True
1685,P.S. 452,2020,121750.0,112900.0,157158.0,166008.0,False,364542.0,True,False,False,False,False,False,False,False,False,False,False,False,True
1691,Special Music School,2020,158176.0,112817.0,94198.0,161249.0,True,115932.0,False,False,False,False,False,False,False,False,False,False,False,False,True
1747,"High School for Mathematics, Science and Engineeri",2020,118173.8984375,122272.2890625,182811.796875,178713.40625,False,52421.74,True,False,False,False,False,False,False,False,False,False,False,False,True
1757,P.S. 115 Alexander Humboldt,2020,5532.0,5337.0,1.0,195.0,False,920.0,False,False,False,False,False,False,True,True,False,False,True,True,True
1769,P.S./I.S. 210 - Twenty-first Century Academy for C,2020,15885.9501953125,12743.419921875,7126.16015625,3412.530029296875,False,4356.51,False,False,False,False,False,True,False,False,False,False,True,True,True
1781,Washington Heights Expeditionary Learning School,2020,20788.560546875,6612.5,14430.23046875,16251.4501953125,True,14430.23,False,False,False,False,False,False,False,False,False,False,False,False,True
1847,P.S. X140 The Eagle School,2020,1500.0,3753.219970703125,2251.43994140625,1.7799999713897705,False,2315.84,False,False,False,False,False,True,False,False,False,False,True,True,True
1950,Milton Fein School,2020,24351.91015625,9958.6904296875,110.226201171875,14393.2197265625,False,987826.0,True,False,False,False,False,False,False,False,False,False,False,False,True
1974,J.H.S. 118 William W. Niles,2020,231.25,0.0,0.0,231.25,False,2.52,False,False,False,False,False,False,False,False,True,False,True,True,True
1975,Riverdale / Kingsbridge Academy (Middle School / H,2020,32273.880859375,2283189.0,48015.76953125,944199.0,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
2023,The Bronx High School of Science,2020,707900.875,340890.75,4106.2278125,367010.15625,False,410498.42,True,False,False,False,False,False,False,False,False,False,False,False,True
2078,The STEAM Bridge School,2020,2864.27001953125,846.989990234375,24.1027001953125,2017.280029296875,False,241427.0,True,False,False,False,False,False,False,False,False,False,False,False,True
2139,P.S. 008 Robert Fulton,2020,1161345.375,737227.8125,5166.66625,424124.15625,False,511302.4,True,False,False,False,False,False,False,False,False,False,False,False,True
2141,P.S. 011 Purvis J. Behan,2020,860926.5625,329389.625,2309.6646875,531536.9375,False,180885.43,True,False,False,False,False,False,False,False,False,False,False,False,True
2150,P.S. 133 William A. Butler,2020,629354.0,588366.5,284323.75,325320.25,False,28433274.0,True,False,False,False,False,False,False,False,False,False,False,False,True
2155,P.S. 282 Park Slope,2020,159744.40625,95382.25,712.576171875,64362.1484375,False,75215.26,True,False,False,False,False,False,False,False,False,False,False,False,True
2168,Academy of Arts and Letters,2020,462933.0,297720.0,1497.31,165213.0,False,133548.0,True,False,False,False,False,False,False,False,False,False,False,False,True
2199,P.S. 319,2020,0.0,1535.0,4678.0,31423.0,True,3188.0,False,False,False,False,False,False,False,False,False,False,False,False,True
2217,"Magnet School of Math, Science and Design Technolo",2020,532325.125,502671.0625,551823.4375,29654.080078125,True,550322.29,False,True,False,False,False,False,False,False,False,True,False,True,True
2220,P.S. 029 John M. Harrigan,2020,1024481.0,1212496.0,705169.0,517154.0,False,680465.0,False,True,False,False,False,False,False,False,False,True,False,True,True
